room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,4,41,1,0,4,1,143
Entire home/apt,13,1,61,4.5,5,1,125
Entire home/apt,4,43,0,0,3,0,143
Entire home/apt,4,43,0,0,2,0,125
Entire home/apt,10,29,0,0,6,3,131
Entire home/apt,9,8,0,0,6,2,143
Entire home/apt,4,47,0,0,4,1,131
Entire home/apt,13,2,21,4.5,6,2,143
Entire home/apt,12,21,24,4.5,8,3,143
Entire home/apt,2,36,0,0,5,3,139
Entire home/apt,6,5,0,0,6,3,143
Entire home/apt,9,5,0,0,6,3,143
Entire home/apt,13,3,24,4.5,6,2,143
Entire home/apt,13,4,0,0,4,1,137
Entire home/apt,14,6,0,0,10,2,131
Entire home/apt,12,18,68,4.5,10,4,143
Entire home/apt,14,5,56,5,8,2,131
Entire home/apt,4,39,1,0,6,2,143
Entire home/apt,10,70,8,4.5,5,3,131
Entire home/apt,4,47,0,0,4,1,125
Entire home/apt,9,8,0,0,4,2,143
Entire home/apt,12,16,37,4.5,10,5,143
Entire home/apt,12,12,0,0,6,2,144
Entire home/apt,12,18,23,5,5,3,143
Entire home/apt,13,2,44,4.5,4,1,125
Entire home/apt,4,18,0,0,4,1,143
Entire home/apt,12,18,34,4.5,12,3,142
Entire home/apt,12,11,46,4,8,3,142
Entire home/apt,12,15,0,0,2,0,125
Entire home/apt,4,40,6,5,4,1,142
Entire home/apt,2,34,38,5,6,2,142
Entire home/apt,4,37,66,4.5,10,4,131
Entire home/apt,4,43,0,0,3,0,131
Entire home/apt,8,4,43,4.5,12,4,129
Entire home/apt,12,18,66,4.5,12,4,142
Entire home/apt,4,35,65,4.5,12,4,131
Entire home/apt,13,2,146,5,4,1,125
Entire home/apt,4,34,4,4.5,2,1,139
Entire home/apt,12,9,15,4.5,8,3,137
Entire home/apt,13,2,0,0,6,2,137
Entire home/apt,5,16,66,5,5,3,143
Entire home/apt,12,16,2,0,4,2,143
Entire home/apt,12,20,10,4.5,6,2,131
Entire home/apt,12,18,56,4.5,15,3,133
Entire home/apt,8,6,0,0,5,2,119
Entire home/apt,2,20,0,0,4,2,105
Entire home/apt,12,16,12,4.5,4,2,106
Entire home/apt,2,42,1,0,6,3,107
Entire home/apt,2,49,1,0,6,3,107
Entire home/apt,15,5,1,0,5,2,119
Entire home/apt,4,46,0,0,5,2,107
Entire home/apt,12,19,0,0,3,0,122
Entire home/apt,4,42,0,0,5,2,107
Entire home/apt,4,45,53,5,6,2,107
Entire home/apt,14,4,0,0,4,1,119
Entire home/apt,2,47,0,0,4,2,107
Entire home/apt,2,41,3,5,4,2,113
Entire home/apt,15,1,22,5,3,2,113
Entire home/apt,12,21,0,0,5,2,119
Entire home/apt,12,16,5,5,2,0,107
Entire home/apt,12,18,43,5,8,2,106
Entire home/apt,4,43,0,0,6,2,119
